Name,BNVehi,BNDis,NumVehi,Dis,NumPar,Dir
C1_4_1,40,7152.02,54,9212.187145298341,15,C1_4_1-2.txt
C1_4_2,36,7686.38,missing,missing,missing,missing
C1_4_3,36,7060.67,missing,missing,missing,missing
C1_4_4,36,6803.24,missing,missing,missing,missing
C1_4_5,40,7152.02,missing,missing,missing,missing
C1_4_6,40,7153.41,missing,missing,missing,missing
C1_4_7,39,7417.92,missing,missing,missing,missing
C1_4_8,37,7347.23,missing,missing,missing,missing
C1_4_9,36,7042.53,missing,missing,missing,missing
C1_4_10,36,6860.63,missing,missing,missing,missing
C2_4_1,12,4116.05,21,5441.893788011657,15,C2_4_1-1.txt
C2_4_2,12,3929.89,missing,missing,missing,missing
C2_4_3,11,4018.02,missing,missing,missing,missing
C2_4_4,11,3702.49,missing,missing,missing,missing
C2_4_5,12,3938.69,missing,missing,missing,missing
C2_4_6,12,3875.94,missing,missing,missing,missing
C2_4_7,12,3894.13,missing,missing,missing,missing
C2_4_8,11,4233.2,missing,missing,missing,missing
C2_4_9,12,3864.68,missing,missing,missing,missing
C2_4_10,11,3825.67,missing,missing,missing,missing
R1_4_1,40,10372.31,46,11093.091183254555,15,R1_4_1-4.txt
R1_4_2,36,8898.15,missing,missing,missing,missing
R1_4_3,36,7808.34,missing,missing,missing,missing
R1_4_4,36,7282.78,missing,missing,missing,missing
R1_4_5,36,9222.96,missing,missing,missing,missing
R1_4_6,36,8358.69,missing,missing,missing,missing
R1_4_7,36,7616.15,missing,missing,missing,missing
R1_4_8,36,7257.28,missing,missing,missing,missing
R1_4_9,36,8694.78,missing,missing,missing,missing
R1_4_10,36,8094.1,missing,missing,missing,missing
R2_4_1,8,9210.15,missing,missing,missing,missing
R2_4_2,8,7606.75,missing,missing,missing,missing
R2_4_3,8,5911.07,missing,missing,missing,missing
R2_4_4,8,4241.47,missing,missing,missing,missing
R2_4_5,8,7127.83,missing,missing,missing,missing
R2_4_6,8,6122.6,missing,missing,missing,missing
R2_4_7,8,5018.53,missing,missing,missing,missing
R2_4_8,8,4015.6,missing,missing,missing,missing
R2_4_9,8,6400.1,missing,missing,missing,missing
R2_4_10,8,5773.17,missing,missing,missing,missing
RC1_4_1,36,8571.32,50,10533.062612554811,15,RC1_4_1-1.txt
RC1_4_2,36,7892.52,missing,missing,missing,missing
RC1_4_3,36,7533.05,missing,missing,missing,missing
RC1_4_4,36,7308.55,missing,missing,missing,missing
RC1_4_5,36,8172.64,missing,missing,missing,missing
RC1_4_6,36,8164.98,missing,missing,missing,missing
RC1_4_7,36,7948.51,missing,missing,missing,missing
RC1_4_8,36,7772.57,missing,missing,missing,missing
RC1_4_9,36,7733.35,missing,missing,missing,missing
RC1_4_10,36,7596.04,missing,missing,missing,missing
RC2_4_1,11,6682.37,21,7665.037508062171,15,RC2_4_1-1.txt
RC2_4_2,9,6180.62,missing,missing,missing,missing
RC2_4_3,8,4930.84,missing,missing,missing,missing
RC2_4_4,8,3631.01,missing,missing,missing,missing
RC2_4_5,8,6706.44,missing,missing,missing,missing
RC2_4_6,8,5766.61,missing,missing,missing,missing
RC2_4_7,8,5334.72,missing,missing,missing,missing
RC2_4_8,8,4790.14,missing,missing,missing,missing
RC2_4_9,8,4551.11,missing,missing,missing,missing
RC2_4_10,8,4278.61,missing,missing,missing,missing
